name,architect,year,description,imageUrl,address,latitude,longitude
21世紀キリスト教会,安藤忠雄（あんどうただお）,2014年,"住宅街の中に建つ教会。地上2階・地下1階建て。
地上階は上から見ると二等辺三角形をしています。
施工は、鹿島建設株式会社。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/02/21st-century-christ-church01-140x140.jpg,東京都渋谷区広尾5-9−7,35.6492285,139.721324
AKASAKA K-TOWER,鹿島建設株式会社（かじまけんせつかぶしきかいしゃ）,2012年,事務所、住宅、商業施設が入る高層複合ビル。2012年度グッドデザイン賞受賞。,https://kenchiku-pers.com/contents/wp-content/uploads/2017/10/akasaka-k-tower01-140x140.jpg,東京都港区元赤坂1-2-7,35.6777869,139.7348263
FUKUHARA GINZA,芦原太郎（あしはらたろう）,2011年,"SHISEIDO THE STORE、飲食店が入るビル。地上11階・地下2階建て。
施工は東急建設株式会社。
南側にはリカルド・ボフィル氏設計の東京銀座資生堂ビルがあります。",https://kenchiku-pers.com/contents/wp-content/uploads/2022/05/fukuhara-ginza01-140x140.jpg,東京都中央区銀座7–8–10,35.66878150000001,139.7620597
G.Itoya,大成建設株式会社（たいせいけんせつ）,2015年,"銀座の中央通り沿いに建つ株式会社伊東屋の文具専門店。地上13階・地下2階建て。敷地の間口は8m。あづま通り側にも入り口があり、K.Itoyaへ繋がっています。
隣は、建築家 隈研吾氏が設計したティファニー銀座があります。
施工は、大成建設株式会社。
グッドデザイン賞、AACA賞、日本建築家協会優秀建築選、日事連建築賞、JSCA賞に選ばれています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/06/g-itoya01-140x140.jpg,東京都中央区銀座2-7-15,35.6729807,139.7673835
GINZA PLACE,クライン・ダイサム・アーキテクツ（くらいん・だいさむ・あーきてくつ）,2016年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/ginza-place01-140x140.jpg,東京都中央区銀座5-8-1,35.6708855,139.7650033
JTビル,株式会社日建設計（にっけんせっけい）,1995年,"日本たばこ産業株式会社（JT）の本社ビル。地上35階・地下3階建て。
施工は、大成建設株式会社、鹿島建設株式会社、戸田建設株式会社、ジェイティ不動産株式会社。
BCS賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/jt-building01-140x140.jpg,東京都港区虎ノ門2-2-1,35.6696922,139.7456221
PIAS GINZA,株式会社久米設計（くめせっけい）,2009年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/03/pias-ginza01-140x140.jpg,東京都中央区銀座4-8-10,35.6706289,139.7665258
TBS放送センター,株式会社日本設計（にほんせっけい）,1994年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/11/tokyo-broadcasting-system-center01-140x140.jpg,東京都港区赤坂5-3-6,35.67191,139.7351057
TH GINZAビル,大江匡（おおえただす）,2014年,銀座の外堀通沿いに建つ、地上10階・地下1階建ての商業ビル。,https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/th-ginza-building01-140x140.jpg,東京都中央区銀座2-2-18,35.67476,139.7657087
THE HEXAGON,前田建設工業株式会社（まえだけんせつこうぎょう）,2008年,,https://kenchiku-pers.com/contents/wp-content/uploads/2023/11/the-hexagon01-140x140.jpg,東京都港区赤坂5-4-7,35.6720808,139.735878
TKビル,安藤忠雄（あんどうただお）,1986年,外苑西通りに建つ、商業ビル。,https://kenchiku-pers.com/contents/wp-content/uploads/2019/01/tk-building01-140x140.jpg,東京都港区西麻布3-17-25,35.6582526,139.7239886
V88ビルディング,光井純（みついじゅん）,2007年,"銀座マロニエ通りに建つ複合ビル。地上11階・地下2階建て。旧デビアス銀座ビルディング。
曲面の外観はステンラスが用いられています。
実施設計と施工は、大成建設株式会社。
ステンレス協会賞を受賞しています。",https://kenchiku-pers.com/contents/wp-content/uploads/2018/05/v88-building01-140x140.jpg,東京都中央区銀座2-5-11,35.6734669,139.7664459
